Catégorie de produits,Produit,Quantité restante,Prix de vente unitaire,Valeur marchande,Prix d'achat moyen,Valorisation,Code EAN,Type de stock,Taux de TVA
POM'POT,LET IT GO CIRCLE masque,1,12,12,5.9,5.9,8004608264170,Stock revente,20.00 %
POM'POT,THE QUICK FIX CIRCLE masque,1,12,12,5.9,5.9,8004608258216,Stock revente,20.00 %
POM'POT,THE RENAISSANCE CIRCLE masque,2,12,24,5.9,11.8,8004608258230,Stock revente,20.00 %
POM'POT,THE PURITY CIRCLE mask,2,12,24,5.9,11.8,8004608258179,Stock revente,20.00 %
OROFLUIDO,Shampooing Lumière Argan,0,16,0,,,8432225127866,Stock revente,20.00 %
OROFLUIDO,Soin Lumière Argan,0,16,0,,,8432225127880,Stock revente,20.00 %
OROFLUIDO,Elixir à l'huile d'argan (100ml),1,34,34,,,8432225127859,Stock revente,20.00 %
OROFLUIDO,Masque Lumière Argan,0,21,0,,,8432225127903,Stock revente,20.00 %
OROFLUIDO,Elixir d'huile d'argan (30ml),1,15,15,,,8432225127842,Stock revente,20.00 %
MYRIAM K,"Lissage Français Le Masque ""Lys Extrem""",1,33,33,249,249,3760205100444,Stock revente,20.00 %
MYRIAM K,Fiber Cream 100ml,7,20,140,9.2,64.4,669316408063,Stock revente,20.00 %
MYRIAM K,Masque La soif de l'Or,1,43,43,21.1,21.1,,Stock revente,20.00 %
MYRIAM K,Shampooing myriam K,2,29,58,14.39,28.78,3760205103988,Stock revente,20.00 %
AMERICAN CREW,FORMING CREAM ,5,25,125,12.15,60.75,738678181690,Stock revente,20.00 %
AMERICAN CREW,Cream Pomade,5,25,125,12.15,60.75,669316434512,Stock revente,20.00 %
AMERICAN CREW,Fiber Cream,5,23,115,11.45,57.25,669316408063,Stock revente,20.00 %
AMERICAN CREW,CLASSIC FIBER,12,25,300,12.15,145.8,738678151853,Stock revente,20.00 %
AMERICAN CREW,MATTE CLAY,4,25,100,12.15,48.6,669316457078,Stock revente,20.00 %
AMERICAN CREW,MATTE CLAY SPRAY ,0,24,0,,,,Stock revente,20.00 %
AMERICAN CREW,BOOST POWDER,2,27,54,13.3,26.6,738678250013,Stock revente,20.00 %
AMERICAN CREW,BEARD FOAM CLEANSER,1,25,25,10.45,10.45,669316434505,Stock technique,20.00 %
AMERICAN CREW,MOISTURIZING SHAVE CREAM,4,22,88,11,44,669316406106,Stock revente,20.00 %
AMERICAN CREW,POST SHAVE COOLING LOTION,4,25,100,11.45,45.8,669316434802,Stock revente,20.00 %
AMERICAN CREW,BEARD BALM,5,26,130,12.95,64.75,669316434673,Stock revente,20.00 %
AMERICAN CREW,ULTRA GLIDING SHAVE OIL,1,0,,18.1,18.1,669316406076,Stock technique,20.00 %
AMERICAN CREW,SHAVE CREAM,-1,26,-26,11.15,-11.15,738678000335,Stock revente,20.00 %
AMERICAN CREW,AMERICAN CREW-PRECISION BLEND-3X40ML-MEDIUM ASH 5-6,0,0,,0,0,738678248331,Stock technique,20.00 %
AMERICAN CREW,AMERICAN CREW-PRECISION BLEND-3X40ML-MEDIUM NATURAL 4-5,2,0,,19.6,39.2,738678248348,Stock technique,20.00 %
AMERICAN CREW,Daily cleans shamp 1000 ml,1,0,,,,,Stock technique,20.00 %
AMERICAN CREW,AC BOOST POWDER 20G,2,0,,,,7501015946879,Stock technique,20.00 %
EQUAVE,EQUAVE HYDRATANT,0,28,0,0,0,,Stock revente,20.00 %
EQUAVE,RP EQUAVE 3 PHASES 200ml,4,29,116,14.45,57.8,8432225137087,Stock revente,20.00 %
EQUAVE,Trousse equave bleu avec brosse,2,30,60,15,30,8432225141046,Stock revente,20.00 %
EQUAVE,RP EQUAVE HYDRO DET CONDITIONING 500ml,1,0,,28.6,28.6,8432225137001,Stock technique,20.00 %
EQUAVE,RP EQUAVE SHAMPOO 485ml,0,0,,0,0,8432225137063,Stock technique,20.00 %
LASHILE,Gummies Végans - GOOD SUN,0,25,0,,,3760302220380,Stock revente,20.00 %
LASHILE,Compléments alimentaires Cheveux sublimes,0,25,0,,,3760302220373,Stock revente,20.00 %
LASHILE,Anti-chutes - 60 Gummies Végans,4,25,100,12,48,3760302221349,Stock revente,20.00 %
LASHILE,Coffret anti chute serviette offerte,6,57,342,39.75,238.5,,Stock revente,20.00 %
HAIRDREAMS,Beauty shampoo - pour tout type de cheveux,1,15,15,,,9008289000019,Stock revente,20.00 %
HAIRDREAMS,Regeneration Care - Soin intensif ,1,17,17,8.5,8.5,,Stock revente,20.00 %
HAIRDREAMS,Protein shampoo - Pour cheveux secs et abîmés,1,15,15,7.5,7.5,,Stock revente,20.00 %
HAIRDREAMS,Ph & shine - Soin brillance réequilibrant,1,21,21,10.3,10.3,,Stock revente,20.00 %
HAIRDREAMS,Double action conditioner - Soin bi phase,1,17,17,7.5,7.5,,Stock revente,20.00 %
HAIRDREAMS,Hair fluid - Fluide pour les pointes,1,17,17,7.5,7.5,,Stock revente,20.00 %
HAIRDREAMS,Set de voyage,1,21,21,10.4,10.4,,Stock revente,20.00 %
HAIRDREAMS,protein shampoo,1,0,,0,0,9008289000064,Stock technique,20.00 %
HAIRDREAMS,regeneration care,1,0,,,,9008289000088,Stock technique,20.00 %
HAIRDREAMS,volume shampoo,1,0,,,,9008289000040,Stock technique,20.00 %
HAIRDREAMS,beauty shampoo,1,0,,,,,Stock technique,20.00 %
MASK,000 Booster superéclaircissant,1,0,,13.8,13.8,8004608251828,Stock technique,20.00 %
MASK,"2,11 Brun Cendré Intense",1,0,,13.8,13.8,8004608251316,Stock technique,20.00 %
MASK,"33,0 Châtain Foncé Intense",3,0,,13.8,41.4,8004608251125,Stock technique,20.00 %
MASK,"55,0 Châtain Clair Intense",0,0,,0,0,8004608251149,Stock technique,20.00 %
MASK,"5,11 Châtain Clair Cendré Intense",4,0,,13.8,55.2,8004608251323,Stock technique,20.00 %
MASK,"5,14 Châtain Cuivré Clair Cendré",0,0,,0,0,8004608251361,Stock technique,20.00 %
MASK,"5,4 Châtain Clair Cuivré",4,0,,13.8,55.2,8004608251569,Stock technique,20.00 %
MASK,"5,43 Chatain Clair Cuivré Doré",3,0,,13.8,41.4,8004608265122,Stock technique,20.00 %
MASK,"5,56 Châtain Acajou Rouge",0,0,,0,0,8004608251668,Stock technique,20.00 %
MASK,"5,61 Châtain Clair Rouge Cendré",2,0,,13.8,27.6,8004608251699,Stock technique,20.00 %
MASK,"66,0 Blond Foncé Intense",1,0,,13.8,13.8,8004608251156,Stock technique,20.00 %
MASK,"66,1 Blond Foncé Intense Cendré",3,0,,13.8,41.4,8004608274766,Stock technique,20.00 %
MASK,"6,15 Blond Foncé Cendré Acajou",1,0,,13.8,13.8,8004608251392,Stock technique,20.00 %
MASK,"6,18 Blond Foncé Cendré Vert",1,0,,13.8,13.8,8004608256601,Stock technique,20.00 %
