Catégorie de produits,Produit,Quantité restante,Prix de vente unitaire,Valeur marchande,Prix d'achat moyen,Valorisation,Code EAN,Type de stock,Taux de TVA
EXSPERIENCE,RP EKS BOOST UNIVERSAL GEL BASE 290ML,1,0,,26.3,26.3,8432225105567,Stock technique,20.00 %
EXSPERIENCE,Boost Cocktail multivitaminée,1,0,,,,,Stock technique,20.00 %
EXSPERIENCE,Boost Phase 0,1,0,,,,,Stock technique,20.00 %
EXSPERIENCE,RP EKS RECONSTRUCT PHASE 2 500ml,2,0,,30.6,61.2,8432225098388,Stock technique,20.00 %
EXSPERIENCE,RP EKS RECONSTRUCT PHASE 1 500ml,2,0,,30.6,61.2,8432225098371,Stock technique,20.00 %
EXSPERIENCE,RP EKS RECONTRUST PHASE 3 250ml,2,0,,30.6,61.2,8432225098395,Stock technique,20.00 %
NUTRICOLOR,RP NC FILTERS 1002 100ml,1,22,22,10.55,10.55,8007376046955,Stock mixte,20.00 %
NUTRICOLOR,RP NC FILTERS 400 100ml,4,22,88,10.55,42.2,8007376047099,Stock mixte,20.00 %
NUTRICOLOR,RP NC FILTERS 097 100ml,2,22,44,10.55,21.1,8007376047174,Stock mixte,20.00 %
NUTRICOLOR,RP NC FILTERS 190 100ml,1,22,22,10.55,10.55,8007376047037,Stock mixte,20.00 %
NUTRICOLOR,RP NC FILTERS 200 100ml,0,22,0,0,0,8007376047051,Stock mixte,20.00 %
NUTRICOLOR,.523,3,0,,,,8007376057708,Stock mixte,20.00 %
Finest Pigments,Finest Pigments Doré,1,0,,32.15,32.15,8004608224037,Stock technique,20.00 %
Finest Pigments,Finest Pigments Rouge,1,0,,32.15,32.15,8004608224044,Stock technique,20.00 %
Finest Pigments,Finest Pigments Cuivre,1,0,,32.15,32.15,8004608224051,Stock technique,20.00 %
Crazy color,CRAZY COLOR 100ML PINKISSIMO 42,2,0,,5.99,11.98,5035832010427,Stock technique,20.00 %
Crazy color,Crazy Color Aubergine,1,0,,2.27,2.27,5035832020501,Stock technique,20.00 %
Crazy color,Crazy Color Violette,1,0,,2.27,2.27,5035832010434,Stock technique,20.00 %
Crazy color,CRAZY COLOR 100ml LAVENDERTF-P,1,0,,2.27,2.27,5035832020549,Stock technique,20.00 %
Revlonissimo colorsmetique,6DN,6,0,,11.05,66.3,8007376058415,Stock technique,20.00 %
Revlonissimo colorsmetique,6.01,0,0,,,,8007376058064,Stock technique,20.00 %
Revlonissimo colorsmetique,600,3,0,,11.05,33.15,8007376057876,Stock technique,20.00 %
Revlonissimo colorsmetique,66.40,1,0,,11.05,11.05,8007376057173,Stock technique,20.00 %
Revlonissimo colorsmetique,700,3,0,,11.05,33.15,8007376057890,Stock technique,20.00 %
Revlonissimo colorsmetique,.713,4,0,,11.05,44.2,8007376057746,Stock technique,20.00 %
Revlonissimo colorsmetique,8.21,0,0,,0,0,8007376058163,Stock technique,20.00 %
Revlonissimo colorsmetique,9.21,2,0,,11.05,22.1,8007376058200,Stock technique,20.00 %
Revlonissimo colorsmetique,10DN,3,0,,11.05,33.15,8007376058453,Stock technique,20.00 %
Revlonissimo colorsmetique,10.21,0,0,,0,0,8007376057319,Stock technique,20.00 %
Revlonissimo colorsmetique,10.31,1,0,,11.05,11.05,8007376057111,Stock technique,20.00 %
Revlonissimo colorsmetique,.102,3,0,,11.05,33.15,8007376057623,Stock technique,20.00 %
Revlonissimo colorsmetique,.523,2,0,,11.05,22.1,8007376057708,Stock technique,20.00 %
Revlonissimo colorsmetique,.821,4,0,,11.05,44.2,8007376057784,Stock technique,20.00 %
Revlonissimo colorsmetique,ACTIVATEUR 10VOL,1,0,,11.15,11.15,8007376059047,Stock technique,20.00 %
Revlonissimo colorsmetique,ACTIVATEUR 20VOL,2,0,,11.15,22.3,8007376059054,Stock technique,20.00 %
Permanente,RP GREAT FEELING PERM KIT,1,0,,17.45,17.45,8432225103150,Stock technique,20.00 %
COFFRET DE NOEL,Heart of glass,2,58,116,29,58,8004608281627,Stock revente,20.00 %
Materiel coiffure,Sèche cheveux,-10,0,,,,,Stock revente,20.00 %
Materiel coiffure,Lisseur,-6,0,,,,,Stock revente,20.00 %
OLAPLEX,OLAPLEX N°4 250ml,5,29.5,147.5,17.7,88.5,896364002756,Stock revente,20.00 %
OLAPLEX,OLAPLEX N°5 250ml,-1,29.5,-29.5,17.7,-17.7,896364002763,Stock revente,20.00 %
OLAPLEX,OLAPLEX N°3 100ml,1,29.5,29.5,19.95,19.95,896364002749,Stock revente,20.00 %
OLAPLEX,OLAPLEX N°4P 250ml,0,29.5,0,,,850018802239,Stock revente,20.00 %
OLAPLEX,OLAPLEX N°4 1000ml,1,0,,56,56,850018802444,Stock technique,20.00 %
OLAPLEX,OLAPLEX N°5 1000ml ,1,0,,56,56,850018802451,Stock technique,20.00 %
OLAPLEX,OLAPLEX N°4P 1000ML,1,0,,56,56,850045076061,Stock technique,20.00 %
OLAPLEX,Olaplex Hair Bond Perfector 525ml,4,0,,,,896364002329,Stock technique,20.00 %
OLAPLEX,Olaplex Hair Bond Multiplier 525ml,0,0,,,,896364002312,Stock technique,20.00 %
OLAPLEX,OLAPLEX N°10,4,29.5,118,11.8,47.2,850056933155,Stock revente,20.00 %
OLAPLEX,OLAPLEX BOND SHAPER CURL,1,0,,147.5,147.5,850056933148,Stock technique,20.00 %
JOICO,1.0,0,0,,0,0,,Stock technique,20.00 %
JOICO,4.0,0,0,,,,,Stock technique,20.00 %
JOICO,5.0,2,0,,11.9,23.8,074469523677,Stock technique,20.00 %
JOICO,5.08,3,0,,9.52,28.56,074469545716,Stock technique,20.00 %
JOICO,5.07,0,0,,,,,Stock technique,20.00 %
JOICO,6.0,0,0,,,,,Stock technique,20.00 %
JOICO,6.08,4,0,,9.52,38.08,074469545655,Stock technique,20.00 %
JOICO,6.03,0,0,,,,,Stock technique,20.00 %
JOICO,7.0,0,0,,,,,Stock technique,20.00 %
JOICO,7.01,3,0,,9.52,28.56,074469523738,Stock technique,20.00 %
JOICO,7.02,1,0,,,,,Stock technique,20.00 %
JOICO,8.0,0,0,,,,,Stock technique,20.00 %
JOICO,8.01,3,0,,9.52,28.56,074469523684,Stock technique,20.00 %
JOICO,8.03,0,0,,,,,Stock technique,20.00 %
JOICO,9.02,0,0,,,,,Stock technique,20.00 %
JOICO,10.0,0,0,,,,,Stock technique,20.00 %
JOICO,6.07,0,0,,,,,Stock technique,20.00 %
JOICO,7.07,0,0,,,,,Stock technique,20.00 %
JOICO,8.07,0,0,,,,,Stock technique,20.00 %
JOICO,5.08,0,0,,,,,Stock technique,20.00 %
JOICO,6.08,0,0,,,,,Stock technique,20.00 %
JOICO,5.04,0,0,,,,,Stock technique,20.00 %
JOICO,6.04,0,0,,,,,Stock technique,20.00 %
JOICO,7.04,0,0,,,,,Stock technique,20.00 %
JOICO,8.04,0,0,,,,,Stock technique,20.00 %
JOICO,Oxydant 22vol,1,0,,12,12,074469525190,Stock technique,20.00 %
MOROCCANOIL,MOROCCANOIL TOUS TYPES DE CHEVEUX,6,40,240,29.7,178.2,7290116975252,Stock revente,20.00 %
MOROCCANOIL,MOROCCANOIL CHEVEUX FINS,2,40,80,29.7,59.4,7290116975269,Stock revente,20.00 %
UNIQONE,RP UNIQONE HAIR TREATMENT V1 150ML,4,25,100,12.3,49.2,8432225129785,Stock revente,20.00 %
UNIQONE,UNIQONE CURL,2,32,64,15.95,31.9,8432225137506,Stock revente,20.00 %
COFFRET DE NOEL,COFFRET FEMME ,0,15,0,,,,Stock revente,20.00 %
COFFRET DE NOEL,COFFRET FEMME,0,30,0,,,,Stock revente,20.00 %
COFFRET DE NOEL,COFFRET HOMME,0,49,0,,,,Stock revente,20.00 %
COFFRET DE NOEL,COFFRET FEMME ,0,60,0,,,,Stock revente,20.00 %
COFFRET DE NOEL,COFFRET HOMME,0,60,0,,,,Stock revente,20.00 %
COFFRET DE NOEL,COFFRET HOMME,0,70,0,,,,Stock revente,20.00 %
LOREAL,Metal Detox Shampoing Anti-Métal 1500 ml,1,0,,40,40,30160668,Stock technique,20.00 %
LOREAL,Metal Detox Masque Anti-Métal 500 ml,1,0,,29.7,29.7,30163478,Stock technique,20.00 %
LOREAL,Dialight 8.28 Blond Clair Irisé Mocca,0,0,,0,0,3474637003050,Stock technique,20.00 %
LOREAL,Dialight 9.02 Milkshake Nacré 50 ml,6,0,,9.7,58.2,3474637003135,Stock technique,20.00 %
LOREAL,Dialight 9.11 Milkshake Cendré Profond 50 ml,5,0,,9.7,48.5,3474637003333,Stock technique,20.00 %
LOREAL,Dialight Pearls 9.18 Blond Très Clair Milkshake Cendré Mocca 50 ml,3,0,,9.7,29.1,3474637156602,Stock technique,20.00 %
LOREAL,Dialight 10.02 Milkshake Naturel Nacré 50 ml,2,0,,9.7,19.4,3474637002855,Stock technique,20.00 %
LOREAL,Dialight 10.12 Milkshake Glacé Nacré 50 ml,6,0,,9.7,58.2,3474637004613,Stock technique,20.00 %
LOREAL,Dialight Pearls 10.82 Blond Très Très Clair Milkshake Mocca Irisé 50 ml,3,0,,9.7,29.1,3474637156527,Stock technique,20.00 %
LOREAL,Diactivateurs Oxydant Spécifique 6 Vol 1000 ml,1,0,,13,13,3474630440395,Stock technique,20.00 %
LOREAL,DIA COLOR 6.84 Blond foncé mocca cuivré,1,0,,11.35,11.35,3474637207649,Stock technique,20.00 %
LOREAL,DIA COLOR 6.35  blond foncé doré acajou,1,0,,11.35,11.35,3474637266257,Stock technique,20.00 %
LOREAL,Diactivateurs Oxydant Spécifique 9 Vol,1,0,,13.3,13.3,3474630440432,Stock technique,20.00 %
LOREAL,Soin Lissant Professionnel,2,53,106,26.5,53,3474637153434,Stock mixte,20.00 %
ALCHEMIC,Total,12,,468,,234,,,
AMERICAN CREW,Total,52,,1136,,610.9,,,
BIJOUX,Total,-75,,-900,,,,,
COFFRET DE NOEL,Total,2,,116,,58,,,
Color Sublime Revlon ,Total,106,,,,1404.3,,,
Crazy color,Total,5,,,,18.79,,,
EQUAVE,Total,7,,176,,116.4,,,
EXSPERIENCE,Total,9,,,,209.9,,,
Finest Pigments,Total,3,,,,96.45,,,
HAIRDREAMS,Total,11,,123,,51.7,,,
HEART OF GLASS,Total,18,,522,,258.9,,,
JOICO,Total,17,,,,159.56,,,
LASHILE,Total,10,,442,,286.5,,,
LOREAL,Total,33,,106,,414.2,,,
MAGNET,Total,25,,70,,716.35,,,
MASK,Total,81,,,,1085.9,,,
MORE INSIDE,Total,20,,544,,268.45,,,
MOROCCANOIL,Total,8,,320,,237.6,,,
MYRIAM K,Total,11,,274,,363.28,,,
Materiel coiffure,Total,-16,,,,,,,
NATURAL TECH,Total,66,,1537,,820.9,,,
NUTRICOLOR,Total,11,,176,,84.4,,,
OI,Total,20,,901,,447.7,,,
OLAPLEX,Total,17,,265.5,,453.45,,,
OROFLUIDO,Total,2,,49,,,,,
POM'POT,Total,6,,72,,35.4,,,
Permanente,Total,1,,,,17.45,,,
Revlonissimo colorsmetique,Total,35,,,,387.05,,,
SHAMPOOING SOLIDE,Total,2,,40,,20.6,,,
SHAMPOOING TECHNIQUE,Total,25,,,,1025.7,,,
SU,Total,14,,349,,173.55,,,
UNIQONE,Total,6,,164,,81.1,,,
VIEW,Total,46,,,,447.2,,,
WE STAND,Total,0,,0,,,,,
Stock mixte,Total,27,,685,,336.55,,,
Stock revente,Total,154,,6096.5,,3816.53,,,
Stock technique,Total,409,,169,,6432.6,,,
Total,,590,,6950.5,,10585.68,,,
